raw_text,category,difficulty
MIGROS TIC.A.S. ATASEHIR IST,Market / Bakkal,easy
MGRS TR GIDA IST 042,Market / Bakkal,hard
MİGROS SANAL MARKET,Market / Bakkal,easy
5M MIGROS MALTEPE PARK,Market / Bakkal,easy
BIM A.S. 3421 UMRANIYE,Market / Bakkal,easy
BİM BİRLEŞİK MAĞAZALAR A.Ş.,Market / Bakkal,easy
A101 YENI MAGAZACILIK A.S,Market / Bakkal,easy
A-101 4512 KARTAL,Market / Bakkal,medium
ŞOK MARKETLER TİC. A.Ş.,Market / Bakkal,easy
SOK-2871 PENDIK,Market / Bakkal,medium
CARREFOURSA KADIKÖY İST,Market / Bakkal,easy
CRFSA ATASEHIR,Market / Bakkal,hard
CARREFOUR EXPRESS BOSTANCI,Market / Bakkal,medium
GETIR PERAKENDE LOJISTIK,Market / Bakkal,medium
GETİR BÜYÜK,Market / Bakkal,medium
MACROCENTER NISANTASI,Market / Bakkal,easy
OZDEMIRLER GIDA LTD STI,Market / Bakkal,medium
KOSEM MANAV SARKUTERI,Market / Bakkal,medium
UCLER SUPERMARKET BAGCILAR,Market / Bakkal,medium
YUNUS MARKET CANKAYA ANKARA,Market / Bakkal,medium
ALTUNBILEKLER ALISVERIS MRK,Market / Bakkal,hard
TEKEL BUFE 7/24 MODA,Market / Bakkal,hard
STARBUCKS KAHVE BEBEK,Restoran / Yeme-İçme,easy
STARBUCKS COFFEE 1423 IST,Restoran / Yeme-İçme,easy
SBUX KANYON AVM,Restoran / Yeme-İçme,hard
ESPRESSOLAB LEVENT,Restoran / Yeme-İçme,easy
YEMEKSEPETI ELEKTRONIK ILT,Restoran / Yeme-İçme,easy
YEMEKSEPETİ İSTANBUL TR,Restoran / Yeme-İçme,easy
YMKSPT*ISTANBUL,Restoran / Yeme-İçme,hard
IYZICO/TRENDYOL YEMEK,Restoran / Yeme-İçme,easy
GETIRYEMEK ISTANBUL,Restoran / Yeme-İçme,medium
BURGER KING 0342 CEVAHIR,Restoran / Yeme-İçme,easy
MCDONALDS KADIKOY RIHTIM,Restoran / Yeme-İçme,medium
DOMINO'S PIZZA ATAKOY,Restoran / Yeme-İçme,easy
KAHVE DÜNYASI BAĞDAT CAD.,Restoran / Yeme-İçme,easy
GÜNAYDIN KASAP STEAKHOUSE,Restoran / Yeme-İçme,medium
HACIOGLU LAHMACUN KEBAP,Restoran / Yeme-İçme,medium
KARADENIZ PIDE SALONU,Restoran / Yeme-İçme,hard
MODA SAHIL CAFE RESTORAN,Restoran / Yeme-İçme,medium
TARIHI SULTANAHMET KOFTECISI,Restoran / Yeme-İçme,hard
PAYTR*LEZZET DONER,Restoran / Yeme-İçme,medium
BEYAZ FIRIN PASTANE SUADIYE,Restoran / Yeme-İçme,medium
WALTER'S COFFEE ROASTERY,Restoran / Yeme-İçme,hard
ÇİYA SOFRASI KADIKÖY,Restoran / Yeme-İçme,hard
SHELL MASLAK AKARYAKIT IST,Akaryakıt / Ulaşım,easy
SHELL&TURCAS 2231 E5,Akaryakıt / Ulaşım,easy
PETROL OFİSİ A.Ş. 4410,Akaryakıt / Ulaşım,easy
PO-BOSTANCI AKARYAKIT,Akaryakıt / Ulaşım,medium
OPET PETROLCULUK A.S.,Akaryakıt / Ulaşım,easy
BP PETROL MECIDIYEKOY,Akaryakıt / Ulaşım,easy
AYTEMIZ AKARYAKIT DAGITIM,Akaryakıt / Ulaşım,medium
TP PETROL DAGITIM 0871,Akaryakıt / Ulaşım,medium
THY A.O. 2352412345678,Akaryakıt / Ulaşım,medium
TURKISH AIRLINES WEB,Akaryakıt / Ulaşım,easy
PEGASUS HAVA TASIMACILIGI,Akaryakıt / Ulaşım,easy
